Name,Link,Type,Teams,Timesplit,Timesplit Avail.,Tabular,Status,Notes,Deadline
petfinder-adoption-prediction,https://www.kaggle.com/c/petfinder-adoption-prediction,Featured,2023,,,0,,images/text,2019-04-10 01:09
mens-machine-learning-competition-2019,https://www.kaggle.com/c/mens-machine-learning-competition-2019,Featured,862,,,0,,duplicate,2019-04-09 06:00
vsb-power-line-fault-detection,https://www.kaggle.com/c/vsb-power-line-fault-detection,Featured,1445,,,0,,time series,2019-03-21 23:59
humpback-whale-identification,https://www.kaggle.com/c/humpback-whale-identification,Featured,2120,,,0,,images,2019-02-28 23:59
quora-insincere-questions-classification,https://www.kaggle.com/c/quora-insincere-questions-classification,Featured,4037,,,0,,text,2019-02-13 23:09
traveling-santa-2018-prime-paths,https://www.kaggle.com/c/traveling-santa-2018-prime-paths,Featured,1867,,,0,,not our task type,2019-01-10 23:59
human-protein-atlas-image-classification,https://www.kaggle.com/c/human-protein-atlas-image-classification,Featured,2160,,,0,,images,2019-01-10 23:59
quickdraw-doodle-recognition,https://www.kaggle.com/c/quickdraw-doodle-recognition,Featured,1309,,,0,,images,2018-12-04 23:59
airbus-ship-detection,https://www.kaggle.com/c/airbus-ship-detection,Featured,878,,,0,,imagess,2018-11-14 23:59
rsna-pneumonia-detection-challenge,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge,Featured,1499,,,0,,images,2018-10-31 23:59
tgs-salt-identification-challenge,https://www.kaggle.com/c/tgs-salt-identification-challenge,Featured,3219,,,0,,images,2018-10-19 23:59
trackml-particle-identification,https://www.kaggle.com/c/trackml-particle-identification,Featured,651,,,0,,3d points,2018-08-13 23:59
freesound-audio-tagging,https://www.kaggle.com/c/freesound-audio-tagging,Research,556,,,0,,sound,2018-08-01 11:59
avito-demand-prediction,https://www.kaggle.com/c/avito-demand-prediction,Featured,1868,,,0,,images,2018-06-27 23:59
data-science-bowl-2018,https://www.kaggle.com/c/data-science-bowl-2018,Featured,3634,,,0,,images,2018-04-16 23:59
mens-machine-learning-competition-2018,https://www.kaggle.com/c/mens-machine-learning-competition-2018,Featured,933,,,0,,duplicate,2018-04-02 23:59
womens-machine-learning-competition-2018,https://www.kaggle.com/c/womens-machine-learning-competition-2018,Featured,504,,,0,,duplicate,2018-04-01 23:59
